,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate
0,1003,11.7,56460,5.3,123.8,8.63
1,1043,14.9,41543,5,166.2,15.76
2,1073,15.3,50109,5.7,116.7,25.02
3,1089,13.5,61193,5.1,113.7,4.48
4,1097,19.5,45233,6.6,133.5,5.06
5,1115,12,57856,5.2,114.4,11.36
6,1117,7.9,74212,4.3,100.7,13.29
7,2020,7.2,83959,5.5,66.3,12.41
8,2122,12,68501,8.5,97.9,22.22
9,2170,9.5,71793,8.2,76.4,16.29
10,4003,21.1,45151,6.2,79.0,14.31
11,4013,15,58742,4.6,68.2,10.39
12,4015,18.3,42003,6.6,127.5,15.1
13,4019,18.2,47644,5,74.0,15.74
14,4021,15.4,52642,5.6,58.3,7.17
15,4025,13.3,49824,4.9,97.8,6.65
16,5007,9.1,64072,2.9,87.8,7.74
17,5051,17.8,42087,4.3,176.3,10.26
18,5119,17.2,47966,3.5,105.2,4.83
19,5125,8.7,63618,3.1,97.4,8.42
20,6001,10.7,89472,4.3,31.1,3.03
21,6007,19.5,45097,6.6,125.4,7.49
22,6013,8.7,90920,4.5,40.8,4.67
23,6019,25.5,48323,9.5,57.8,6.43
24,6023,20,43164,4.9,92.2,23.42
25,6025,23.6,43327,24.1,52.4,6.08
26,6029,22.4,49812,10.4,60.3,6.1
27,6037,16.3,61308,5.3,33.4,3.37
28,6039,20.4,49467,9.2,49.7,6.46
29,6041,7.8,103488,3.3,36.7,5.75
30,6045,19,45247,5.3,105.1,19.4
31,6047,20.3,47442,10.6,65.3,8.19
32,6053,12.9,62999,7.6,50.6,2.99
33,6059,11.1,81642,4,42.1,8.73
34,6061,7.2,85326,4.5,62.9,2.89
35,6065,15.3,59951,6.1,49.4,4.61
36,6067,16.3,59728,5.4,50.3,2.64
37,6071,17.6,56194,5.8,52.2,1.54
38,6073,12.4,70693,4.7,39.2,7.6
39,6075,10.2,101873,3.3,32.2,10.91
40,6077,14.6,59038,8.1,54.5,7.22
41,6079,11,69517,4.3,71.6,7.42
42,6081,6.6,107075,3,31.5,2.62
43,6083,13.9,66360,5.1,54.7,7.4
44,6085,9.3,110843,3.8,24.2,3.23
45,6087,13.4,75929,7,57.0,11.29
46,6089,17.2,46663,7,118.0,9.46
47,6093,18.8,40875,8.5,117.2,22.93
48,6095,11.4,73200,5.5,43.0,3.41
49,6097,9.4,73496,4,52.5,4.97
50,6099,14.5,54060,8.6,85.1,2.59
51,6107,24.7,45768,11.2,65.1,3.04
52,6111,9.8,79470,5.2,54.0,5.18
53,8001,11.7,65442,3.5,52.5,11.44
54,8005,9,70866,3.1,58.2,10.2
55,8013,10.8,74772,2.6,47.7,5.9
56,8031,14,61038,3.1,39.4,12.12
57,8035,3.4,112399,2.6,50.5,3.35
58,8041,11.5,63610,3.7,67.4,13.08
59,8059,7,74342,2.9,70.4,8.74
60,8069,11.2,66561,2.8,62.2,7.65
61,8077,15,49825,5.2,78.6,11.33
62,8101,19.9,44644,4.7,107.9,12.72
63,8123,11.5,63609,3.4,58.0,6.1
64,9001,8.6,89954,4.9,43.4,15.78
65,9003,10.9,69341,5.4,56.0,27.34
66,9005,7.2,76323,4.7,60.6,19.17
67,9007,7.9,80190,4.4,63.3,27.55
68,9009,11.4,66012,5.5,63.1,26.26
69,9011,9.3,70258,5.1,66.4,32.25
70,9013,7.2,81369,4.5,48.4,22.5
71,9015,11.9,60869,5.6,71.6,25.82
72,10001,13.6,53994,4.9,75.9,12.58
73,10003,11.3,67246,4.4,74.7,14.72
74,10005,11.6,56618,4.5,93.1,20.43
75,11001,18.5,74093,6.1,32.5,28.04
76,12001,22.3,45294,4.3,69.1,6.45
77,12005,14.9,48843,4.8,121.2,22.29
78,12009,14.7,51214,5.1,92.1,8.98
79,12011,13.5,54055,4.5,51.3,13.72
80,12015,12.6,44935,5.3,79.8,8.41
81,12017,16.6,40009,6.7,104.9,13.93
82,12019,9.6,57476,4.5,87.3,29.28
83,12021,11.4,62397,4.7,58.2,12.6
84,12031,14.5,51948,4.9,88.6,33.47
85,12033,15.2,45004,4.9,113.0,9.2
86,12035,11.2,50863,5.5,80.3,11.08
87,12053,15.4,46225,6,110.0,6.02
88,12057,15,54509,4.4,65.6,11.77
89,12061,12.3,49813,6,96.7,6.6
90,12069,11.8,50125,4.9,82.3,4.17
91,12071,12.8,52989,4.6,66.3,16.75
92,12073,19,51041,4.5,71.5,5.21
93,12081,12.7,51770,4.6,76.2,38.31
94,12083,17.4,39629,5.8,90.8,12.03
95,12085,11.3,55917,4.8,74.8,6.3
96,12086,18.2,45886,5.1,30.5,9.03
97,12087,11.5,63892,3.2,79.9,13.91
98,12089,10.3,67967,4.5,110.4,23.57
99,12091,10.7,58009,4,85.4,17.4
100,12095,16.3,51312,4.3,45.2,12.63
101,12097,14.8,50716,5,53.0,11.31
102,12099,12.6,57607,4.7,59.3,20.36
103,12101,13.3,46326,5.1,86.6,13.08
104,12103,13.3,49974,4.3,82.4,9.06
105,12105,16.4,46289,5.5,72.9,4.8
106,12107,21.5,37526,6.4,110.0,13.84
107,12109,7.7,78544,3.8,65.0,13.19
108,12111,17,45509,5.8,65.6,13.38
109,12113,10.6,62668,4.5,97.4,7.04
110,12115,10.8,55088,4.5,79.0,17.21
111,12117,11.4,61253,4.3,55.9,14.93
112,12127,14.2,45356,5.1,81.8,15.49
113,13013,12.9,54893,4.7,84.6,12.97
114,13015,15.1,52497,5.1,102.9,13.49
115,13021,26.3,38115,5.9,130.7,7.86
116,13045,14.9,50598,6,116.6,17.2
117,13047,12.9,53740,4.8,116.1,15.06
118,13051,16.6,52746,5.2,84.9,8.65
119,13057,7.5,78668,4.2,70.0,14.07
120,13059,27.9,36692,5.5,97.1,9.62
121,13063,20.8,44598,6.6,44.6,5.37
122,13067,10,70950,4.6,61.3,12.83
123,13073,7.2,74908,4.6,81.0,10.85
124,13077,9.9,71114,5,81.3,9.96
